subject,sender,content,urls,label
Action needed: accept your GitHub invite,notifications@github.com,Diya invited you to a workspace. Accept the invitation to get started: https://www.github.com/app,https://www.github.com/app,0
Your Netflix package is on hold,support@netflix-care.com,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://netflix-secure.cvs4f.click/verify?id=cgvyie6ivw,http://netflix-secure.cvs4f.click/verify?id=cgvyie6ivw,1
Action Required: Confirm your payment information,account86@dr0pb0x-billing.zip,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: https://bit.ly/awudts Failure to act will result in account termination!!!,https://bit.ly/awudts,1
Action needed: accept your Uber invite,receipts@uber.com,Rahul invited you to a workspace. Accept the invitation to get started: https://www.uber.com/billing,https://www.uber.com/billing,0
Your Apple account,support@account-services.com,Please review your recent activity here: https://is.gd/hmy4sj,https://is.gd/hmy4sj,1
Your Netflix account,no-reply@account-services.com,Please review your recent activity here: http://netflix-secure.j0tpa.xyz/verify?id=8yfbntpbn7,http://netflix-secure.j0tpa.xyz/verify?id=8yfbntpbn7,1
Update your direct deposit,microsoft.billing@rewards-secure.xyz,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://237.86.201.239/microsoft/secure-login.php,http://237.86.201.239/microsoft/secure-login.php,1
Action needed: accept your GitHub invite,notifications@github.com,Ben invited you to a workspace. Accept the invitation to get started: https://www.github.com/settings,https://www.github.com/settings,0
Action Required: Confirm your payment information,support@mail-secure.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: https://is.gd/o9t7e8 Failure to act will result in account termination!!!,https://is.gd/o9t7e8,1
Please verify your email for Notion,team@notion.so,"Hi Sam, welcome aboard! Please confirm your email address to finish setting up your account: https://www.notion.so/billing This link is valid for 24 hours.",https://www.notion.so/billing,0
Re: contract review,diya.casey@bluepeak.net,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off. Latest copy: https://docs.bluepeak.net/87wxe6,https://docs.bluepeak.net/87wxe6,0
Document shared with you,dhl.support431@gmail.com,A document has been shared with you. Open it here: http://dhl-secure.n0guo.support/verify?id=akpuxqphr6,http://dhl-secure.n0guo.support/verify?id=akpuxqphr6,1
Congratulations! You have won a $1000 gift card,linkedin.service@linkedin-portal.zip,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://service-secure.work/account Provide your details to receive your cash reward immediately.,http://service-secure.work/account,1
Re: your request,security55@app1e-verify.top,Following up - please complete the verification here: http://apple.account-zqu7.com@eeqtul1p.support/login,http://apple.account-zqu7.com@eeqtul1p.support/login,1
Ben shared a file with you,receipts@uber.com,You've been invited to view a document. Open it whenever you like: https://www.uber.com/inbox,https://www.uber.com/inbox,0
Action Required: Confirm your payment information,no-reply@mail-secure.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: https://is.gd/cfnfho Failure to act will result in account termination!!!,https://is.gd/cfnfho,1
Verify your wallet,hr@41nam-portal.support,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: https://rb.gy/t026rj,https://rb.gy/t026rj,1
Please verify your email for Uber,receipts@uber.com,"Hi Neha, welcome aboard! Please confirm your email address to finish setting up your account: https://www.uber.com/settings",https://www.uber.com/settings,0
URGENT: Your FedEx account has been suspended,no-reply@fedexmail.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: https://rb.gy/l1n13j Enter your password and billing details to restore access.",https://rb.gy/l1n13j,1
Congratulations! You have won a $1000 gift card,support@google-care.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://google-secure.8hafe.work/verify?id=e8qjnv8z2f Provide your details to receive your cash reward immediately.,http://google-secure.8hafe.work/verify?id=e8qjnv8z2f,1
Update your direct deposit,linkedin.service@billing-team.click,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://linkedin.account-2ubt.com@xcxaprpn.support/login,http://linkedin.account-2ubt.com@xcxaprpn.support/login,1
Your Netflix order #866536 has shipped,service@netflix.com,"Hi Sara, your order #866536 is on its way and will arrive in 2-3 days. Track it from your account: https://www.netflix.com/billing/history",https://www.netflix.com/billing/history,0
Action Required: Confirm your payment information,instagram.security345@gmail.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://218.84.47.125/instagram/secure-login.php Failure to act will result in account termination!!!,http://218.84.47.125/instagram/secure-login.php,1
Re: project timeline,morgan.taylor2@northwind.org,"Thanks, that works for me. I'll circulate the revised plan tomorrow. Doc is here for reference: https://docs.northwind.org/zr1yxr",https://docs.northwind.org/zr1yxr,0
Verify your wallet,help@mail-secure.com,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://support-online.click/secure,http://support-online.click/secure,1
Action Required: Confirm your payment information,service@customer-desk.support,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://amazon-verify.support/verify Failure to act will result in account termination!!!,http://amazon-verify.support/verify,1
URGENT: Your Chase account has been suspended,support@chase-care.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://rewards-team.support/pay Enter your password and billing details to restore access.",http://rewards-team.support/pay,1
Update your direct deposit,j5ecru@fedexyf3.tk,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://64.31.143.196/fedex/secure-login.php,http://64.31.143.196/fedex/secure-login.php,1
URGENT: Your FedEx account has been suspended,help@fedexmail.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: https://is.gd/c8d1wj Enter your password and billing details to restore access.",https://is.gd/c8d1wj,1
Your PayPal account,paypal.security299@gmail.com,Please review your recent activity here: http://74.181.73.180/paypal/secure-login.php,http://74.181.73.180/paypal/secure-login.php,1
Your LinkedIn order #335729 has shipped,support@linkedin.com,"Hi Arjun, your order #335729 is on its way and will arrive in 2-3 days. Track it from your account: https://www.linkedin.com/settings",https://www.linkedin.com/settings,0
Quick update on the deploy,sara.sam@northwind.org,"Deploy went out cleanly, all checks green. Dashboard: https://docs.northwind.org/kojtpv",https://docs.northwind.org/kojtpv,0
Action needed: accept your Spotify invite,billing@spotify.com,Alex invited you to a workspace. Accept the invitation to get started: https://www.spotify.com/billing,https://www.spotify.com/billing,0
Your Apple order #195674 has shipped,service@apple.com,"Hi Priya, your order #195674 is on its way and will arrive in 2-3 days. Track it from your account: https://www.apple.com/support/cases",https://www.apple.com/support/cases,0
Congratulations! You have won a $1000 gift card,dropbox.security834@gmail.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://dropbox-secure.bdje1.support/verify?id=s9xtogn1w1 Provide your details to receive your cash reward immediately.,http://dropbox-secure.bdje1.support/verify?id=s9xtogn1w1,1
Confirm your Dropbox identity,support31@dr0pb0x-verify.tk,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://account-portal.support/login Thank you for your cooperation.",http://account-portal.support/login,1
URGENT: Your Dropbox account has been suspended,no-reply@dropboxmail.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://dropbox.account-9itn.com@7s55j2o7.click/login Enter your password and billing details to restore access.",http://dropbox.account-9itn.com@7s55j2o7.click/login,1
Your Wells Fargo package is on hold,wellsfargo.support458@gmail.com,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://wellsfargo-alert.support/account,http://wellsfargo-alert.support/account,1
Your Zoom receipt,no-reply-1b0z@zoom.us,Thanks for your purchase. Your total was $89.93. View the receipt any time: https://www.zoom.us/inbox,https://www.zoom.us/inbox,0
Your monthly FedEx statement is ready,no-reply@fedex.com,"Hello Priya, your statement is now available. No action is needed. Review it here when convenient: https://www.fedex.com/support/cases",https://www.fedex.com/support/cases,0
Please verify your email for Calendly,notifications@calendly.com,"Hi Sara, welcome aboard! Please confirm your email address to finish setting up your account: https://www.calendly.com/account This link is valid for 24 hours.",https://www.calendly.com/account,0
Quick update on the deploy,taylor.taylor@bluepeak.net,"Deploy went out cleanly, all checks green.",,0
Re: project timeline,sam.morgan22@meridianhq.com,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Verify your wallet,support53@g00g1e-verify.top,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://157.223.98.159/google/secure-login.php,http://157.223.98.159/google/secure-login.php,1
Your FedEx account,fedex.support@verify-desk.tk,Please review your recent activity here: http://fedex-secure.pj4hn.zip/verify?id=dnmkza3oa5,http://fedex-secure.pj4hn.zip/verify?id=dnmkza3oa5,1
Your monthly Netflix statement is ready,support@netflix.com,"Hello Casey, your statement is now available. No action is needed. Review it here when convenient: https://www.netflix.com/settings",https://www.netflix.com/settings,0
Re: project timeline,morgan.casey5@meridianhq.com,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
DHL notification,service@mail-secure.com,There is an update on your account. View it here: http://rewards-center.support/pay,http://rewards-center.support/pay,1
Your Amazon package is on hold,account87@amaz0n-team.support,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://amazon.account-n2at.com@qyyv37di.xyz/login,http://amazon.account-n2at.com@qyyv37di.xyz/login,1
Verify your wallet,amazon.account@billing-login.xyz,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://228.138.35.100/amazon/secure-login.php,http://228.138.35.100/amazon/secure-login.php,1
Your password was changed,no-reply@linkedin.com,"Hi Neha, this confirms your password was changed. If this was you, no action is needed. Manage security settings: ",,0
Your Microsoft account,service70@m1cr0s0ft-billing.xyz,Please review your recent activity here: https://tinyurl.com/883dhx,https://tinyurl.com/883dhx,1
Re: your request,support27@app1e-verify.support,Following up - please complete the verification here: http://apple.account-lf6a.com@4fejgxaa.support/login,http://apple.account-lf6a.com@4fejgxaa.support/login,1
Verify your wallet,team@paypal-care.com,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://paypal-secure.r2sds.click/verify?id=b25sq8croy,http://paypal-secure.r2sds.click/verify?id=b25sq8croy,1
Action Required: Confirm your payment information,service@mail-secure.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://wellsfargo-secure.vznvk.click/verify?id=vdz4x1zhqi Failure to act will result in account termination!!!,http://wellsfargo-secure.vznvk.click/verify?id=vdz4x1zhqi,1
New sign-in to your Notion account,team@notion.so,"Hi Jordan, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.notion.so/app",https://www.notion.so/app,0
Action Required: Confirm your payment information,apple.service576@gmail.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: https://bit.ly/o57p6b Failure to act will result in account termination!!!,https://bit.ly/o57p6b,1
Ben shared a file with you,info@grammarly.com,You've been invited to view a document. Open it whenever you like: https://www.grammarly.com/account,https://www.grammarly.com/account,0
Your password was changed,no-reply@wellsfargo.com,"Hi Rahul, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.wellsfargo.com",https://www.wellsfargo.com,0
Document shared with you,apple.security72@gmail.com,A document has been shared with you. Open it here: http://163.249.8.24/apple/secure-login.php,http://163.249.8.24/apple/secure-login.php,1
Confirm your Apple identity,apple.service611@gmail.com,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://14.40.41.194/apple/secure-login.php Thank you for your cooperation.",http://14.40.41.194/apple/secure-login.php,1
Notes from today's sync,priya.ben@meridianhq.com,"Hey, great call. I put the action items in the shared doc: https://docs.meridianhq.com/mdyvsl Let me know if I missed anything.",https://docs.meridianhq.com/mdyvsl,0
Your Figma invoice is ready,hello@figma.com,"Hi Ben, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.figma.com/settings",https://www.figma.com/settings,0
URGENT: Your Dropbox account has been suspended,help@mail-secure.com,"Dear Customer, we detected UNUSUAL ACTIVITY on your account. It has been SUSPENDED. You must VERIFY your identity within 24 hours or it will be permanently closed!!! Verify now: http://221.190.11.112/dropbox/secure-login.php Enter your password and billing details to restore access.",http://221.190.11.112/dropbox/secure-login.php,1
Quick update on the deploy,diya.sam@bluepeak.net,"Deploy went out cleanly, all checks green. Dashboard: https://docs.bluepeak.net/8g8qyn",https://docs.bluepeak.net/8g8qyn,0
Document shared with you,service96@we11sfarg0-billing.top,A document has been shared with you. Open it here: https://tinyurl.com/cwtg1m,https://tinyurl.com/cwtg1m,1
Re: your request,service@microsoft-care.com,Following up - please complete the verification here: http://198.161.127.119/microsoft/secure-login.php,http://198.161.127.119/microsoft/secure-login.php,1
Lunch next week?,rahul.casey42@northwind.org,Are you free Thursday or Friday? Happy to grab something near the office.,https://docs.northwind.org/cpkjcs,0
Your Google package is on hold,security79@g00g1e-team.zip,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://customer-claim.zip/account,http://customer-claim.zip/account,1
Your monthly FedEx statement is ready,no-reply@fedex.com,"Hello Sara, your statement is now available. No action is needed. Review it here when convenient: ",,0
Your Chase order #396635 has shipped,support@chase.com,"Hi Leo, your order #396635 is on its way and will arrive in 2-3 days. Track it from your account: https://www.chase.com/billing/history",https://www.chase.com/billing/history,0
Casey shared a file with you,team@slack.com,You've been invited to view a document. Open it whenever you like: https://www.slack.com/inbox,https://www.slack.com/inbox,0
Action Required: Confirm your payment information,security@rewards-team.work,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://linkedin.account-0ysx.com@pnngh8ri.top/login Failure to act will result in account termination!!!,http://linkedin.account-0ysx.com@pnngh8ri.top/login,1
Update your direct deposit,instagram.service39@gmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://instagram-secure.5wvfg.work/verify?id=13fpoyipk0,http://instagram-secure.5wvfg.work/verify?id=13fpoyipk0,1
Quick update on the deploy,sara.neha48@novatech.io,"Deploy went out cleanly, all checks green.",,0
Re: project timeline,jamie.jordan26@novatech.io,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Quick update on the deploy,sam.morgan@bluepeak.net,"Deploy went out cleanly, all checks green. Dashboard: https://docs.bluepeak.net/fqs3d6",https://docs.bluepeak.net/fqs3d6,0
New sign-in to your Zoom account,no-reply@zoom.us,"Hi Jamie, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.zoom.us/settings",https://www.zoom.us/settings,0
New sign-in to your Figma account,hello@figma.com,"Hi Diya, we noticed a new sign-in from Chrome on Windows. If this was you, no action is needed. Review activity: https://www.figma.com/inbox",https://www.figma.com/inbox,0
Confirm your Dropbox identity,dropbox.account@dropbox-team.support,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://dropbox-secure.c4rtw.click/verify?id=ifpwioxd9c Thank you for your cooperation.",http://dropbox-secure.c4rtw.click/verify?id=ifpwioxd9c,1
Congratulations! You have won a $1000 gift card,linkedin.support@delivery-verify.support,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://rewards-claim.tk/account Provide your details to receive your cash reward immediately.,http://rewards-claim.tk/account,1
Lunch next week?,diya.ben@meridianhq.com,Are you free Thursday or Friday? Happy to grab something near the office.,https://docs.meridianhq.com/z7bh25,0
Your Chase payment receipt,service-1gm2@chase.com,We received your payment of $110.57. Thanks for being a customer. Receipt: https://www.chase.com/account,https://www.chase.com/account,0
Your DHL payment receipt,orders@dhl.com,We received your payment of $110.20. Thanks for being a customer. Receipt: https://www.dhl.com/settings,https://www.dhl.com/settings,0
Your password was changed,orders-cxlv@chase.com,"Hi Jamie, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.chase.com/billing/history",https://www.chase.com/billing/history,0
Confirm your LinkedIn identity,cwn2y8@11nked1nfv2.xyz,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://61.200.166.94/linkedin/secure-login.php Thank you for your cooperation.",http://61.200.166.94/linkedin/secure-login.php,1
Your password was changed,service@google.com,"Hi Neha, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.google.com/support/cases",https://www.google.com/support/cases,0
Sign-in confirmation,help@dropboxmail.com,Confirm your recent sign-in to continue: http://dr0pb0x-billing.tk/1zhwy9/hecgz9/389yzt?token=kkfzzgni92irmuq9e5co,http://dr0pb0x-billing.tk/1zhwy9/hecgz9/389yzt?token=kkfzzgni92irmuq9e5co,1
Your monthly Amazon statement is ready,support@amazon.com,"Hello Rahul, your statement is now available. No action is needed. Review it here when convenient: https://www.amazon.com/billing/history",https://www.amazon.com/billing/history,0
Congratulations! You have won a $1000 gift card,security67@chase-verify.tk,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://83.240.182.58/chase/secure-login.php Provide your details to receive your cash reward immediately.,http://83.240.182.58/chase/secure-login.php,1
Your Grammarly receipt,info@grammarly.com,Thanks for your purchase. Your total was $85.48. View the receipt any time: https://www.grammarly.com/app,https://www.grammarly.com/app,0
Congratulations! You have won a $1000 gift card,wellsfargo.service43@gmail.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: http://wellsfargo.account-bbxu.com@x1oxrwk8.zip/login Provide your details to receive your cash reward immediately.,http://wellsfargo.account-bbxu.com@x1oxrwk8.zip/login,1
Dropbox notification,team@dropboxmail.com,There is an update on your account. View it here: http://dropbox-desk.top/secure,http://dropbox-desk.top/secure,1
Your monthly Apple statement is ready,orders@apple.com,"Hello Sam, your statement is now available. No action is needed. Review it here when convenient: https://www.apple.com/account",https://www.apple.com/account,0
Update your direct deposit,dhl.service@service-alert.zip,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://dhl-claim.xyz/pay,http://dhl-claim.xyz/pay,1
Update your direct deposit,help@paypalmail.com,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: https://bit.ly/4p501n,https://bit.ly/4p501n,1
Your DHL package is on hold,it@3wved-portal.tk,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://dhl-secure.m71hs.click/verify?id=bbz2sf6f7l,http://dhl-secure.m71hs.click/verify?id=bbz2sf6f7l,1
Lunch next week?,priya.priya@bluepeak.net,Are you free Thursday or Friday? Happy to grab something near the office.,,0
Verify your wallet,hr@vjx8u-portal.top,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://dhl-secure.vgww4.top/verify?id=3iuzgppohs,http://dhl-secure.vgww4.top/verify?id=3iuzgppohs,1
Your Uber receipt,receipts@uber.com,Thanks for your purchase. Your total was $89.71. View the receipt any time: https://www.uber.com/billing,https://www.uber.com/billing,0
Re: contract review,sara.ben88@bluepeak.net,Looks good overall. I left a couple of comments in section 3 - mostly wording. Once those are in I'm happy to sign off.,,0
Morgan shared a file with you,hello-9kkh@figma.com,You've been invited to view a document. Open it whenever you like: https://www.figma.com/inbox,https://www.figma.com/inbox,0
Your password was changed,support-kzmp@instagram.com,"Hi Morgan, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.instagram.com/help",https://www.instagram.com/help,0
Your Calendly receipt,notifications@calendly.com,Thanks for your purchase. Your total was $11.95. View the receipt any time: https://www.calendly.com/settings,https://www.calendly.com/settings,0
Action needed: accept your Uber invite,receipts72@uber.com,Taylor invited you to a workspace. Accept the invitation to get started: https://www.uber.com/settings,https://www.uber.com/settings,0
Your monthly Amazon statement is ready,support@amazon.com,"Hello Diya, your statement is now available. No action is needed. Review it here when convenient: ",,0
Your Coinbase package is on hold,no-reply@verify-center.zip,Your parcel is on hold due to an unpaid customs fee. Pay now and update your billing information to release it: http://c01nbase-secure.click/r74qge/fqjg02/u1g463?token=sdygfliji18k0axycelo,http://c01nbase-secure.click/r74qge/fqjg02/u1g463?token=sdygfliji18k0axycelo,1
Your monthly Google statement is ready,support-ef0v@google.com,"Hello Jamie, your statement is now available. No action is needed. Review it here when convenient: https://www.google.com/notifications",https://www.google.com/notifications,0
Re: project timeline,ben.arjun@acmecorp.com,"Thanks, that works for me. I'll circulate the revised plan tomorrow.",,0
Confirm your Coinbase identity,team.track@service-verify.work,"Hello, your account needs to be verified. Please click here to confirm your identity and enter your credentials: http://150.126.24.231/coinbase/secure-login.php Thank you for your cooperation.",http://150.126.24.231/coinbase/secure-login.php,1
thanks!,alex.ben60@northwind.org,"Got it, appreciate the quick turnaround. Talk soon.",https://docs.northwind.org/ajahcp,0
Your Amazon payment receipt,service54@amazon.com,We received your payment of $55.58. Thanks for being a customer. Receipt: https://www.amazon.com/support/cases,https://www.amazon.com/support/cases,0
Your Grammarly invoice is ready,info@grammarly.com,"Hi Jordan, your subscription renewed successfully. No action needed. View your invoice in account settings: https://www.grammarly.com/billing",https://www.grammarly.com/billing,0
Your PayPal account,qzpniq@paypa1fg5.support,Please review your recent activity here: http://208.170.108.158/paypal/secure-login.php,http://208.170.108.158/paypal/secure-login.php,1
Congratulations! You have won a $1000 gift card,help@wellsfargo-care.com,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: https://bit.ly/oih5cs Provide your details to receive your cash reward immediately.,https://bit.ly/oih5cs,1
Your Coinbase payment receipt,orders-59so@coinbase.com,We received your payment of $88.96. Thanks for being a customer. Receipt: https://www.coinbase.com/orders,https://www.coinbase.com/orders,0
Verify your wallet,google.service327@gmail.com,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: http://google-secure.okgti.top/verify?id=kz36u8ueih,http://google-secure.okgti.top/verify?id=kz36u8ueih,1
Update your direct deposit,alert87@dr0pb0x-secure.support,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://206.195.151.186/dropbox/secure-login.php,http://206.195.151.186/dropbox/secure-login.php,1
Leo shared a file with you,notifications-g001@github.com,You've been invited to view a document. Open it whenever you like: https://www.github.com/settings,https://www.github.com/settings,0
Action Required: Confirm your payment information,support64@11nked1n-team.xyz,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://linkedin.account-01lh.com@lb50atvz.tk/login Failure to act will result in account termination!!!,http://linkedin.account-01lh.com@lb50atvz.tk/login,1
Please verify your email for Airbnb,automated@airbnb.com,"Hi Morgan, welcome aboard! Please confirm your email address to finish setting up your account: https://www.airbnb.com/app This link is valid for 24 hours.",https://www.airbnb.com/app,0
Notes from today's sync,leo.arjun@northwind.org,"Hey, great call. I put the action items in the shared doc: https://docs.northwind.org/48y1o4 Let me know if I missed anything.",https://docs.northwind.org/48y1o4,0
Your Microsoft account,microsoft.billing@microsoft-alert.zip,Please review your recent activity here: http://136.185.71.138/microsoft/secure-login.php,http://136.185.71.138/microsoft/secure-login.php,1
You have 18 unread notifications,receipts14@uber.com,Here is your weekly Uber digest. Open the app to catch up: https://www.uber.com/billing,https://www.uber.com/billing,0
Update your direct deposit,account39@dh1-secure.work,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://dh1-secure.support/bonrwz/c4xl99/67i6yu?token=j7yktxg4ahf337kuu4yt,http://dh1-secure.support/bonrwz/c4xl99/67i6yu?token=j7yktxg4ahf337kuu4yt,1
Action needed: accept your Atlassian invite,jira@atlassian.com,Neha invited you to a workspace. Accept the invitation to get started: https://www.atlassian.com/account,https://www.atlassian.com/account,0
Sam shared a file with you,info-9rm7@grammarly.com,You've been invited to view a document. Open it whenever you like: https://www.grammarly.com/inbox,https://www.grammarly.com/inbox,0
Verify your wallet,service@netflixmail.com,We noticed unusual activity on your wallet. Confirm your seed phrase and login credentials to secure your funds: https://bit.ly/d7q1dd,https://bit.ly/d7q1dd,1
Action Required: Confirm your payment information,help@mail-secure.com,Your recent payment could not be processed. Update your credit card and account number IMMEDIATELY to avoid service interruption: http://chase.account-ao20.com@u9isygjj.top/login Failure to act will result in account termination!!!,http://chase.account-ao20.com@u9isygjj.top/login,1
Document shared with you,no-reply@account-services.com,A document has been shared with you. Open it here: http://instagram-secure.rwqea.zip/verify?id=lw2lm349el,http://instagram-secure.rwqea.zip/verify?id=lw2lm349el,1
Congratulations! You have won a $1000 gift card,alert74@dh1-verify.tk,WINNER! You have been selected to receive a $1000 reward. Claim your prize now before it expires: https://rb.gy/n7h9g1 Provide your details to receive your cash reward immediately.,https://rb.gy/n7h9g1,1
You have 17 unread notifications,hello@figma.com,Here is your weekly Figma digest. Open the app to catch up: https://www.figma.com/account,https://www.figma.com/account,0
Your password was changed,service@amazon.com,"Hi Priya, this confirms your password was changed. If this was you, no action is needed. Manage security settings: https://www.amazon.com/support/cases",https://www.amazon.com/support/cases,0
Notes from today's sync,leo.rahul@acmecorp.com,"Hey, great call. I put the action items in the shared doc. Let me know if I missed anything.",,0
Update your direct deposit,linkedin.account@linkedin-alert.work,Please confirm your bank account and routing number to receive this month's salary on time. Use the secure portal here: http://payment-portal.zip/secure,http://payment-portal.zip/secure,1
Your Amazon account,support@amazon-care.com,Please review your recent activity here: http://amazon.account-0mm2.com@smdzqcbz.xyz/login,http://amazon.account-0mm2.com@smdzqcbz.xyz/login,1
